,-,-,-,-,,5:10,5:14,5:21,5:30,5:50
,5:15,5:41,5:50,5:55,,6:04,6:09,6:16,6:25,6:48
,6:12,6:38,6:47,6:52,,7:01,7:06,7:13,7:22,7:45
,7:15,7:41,7:50,7:55,,8:04,8:09,8:16,8:25,8:48
,8:14,8:40,8:49,8:54,,9:03,9:08,9:15,9:24,9:47
,9:13,9:39,9:48,9:53,,10:02,10:07,10:14,10:23,10:46
,10:18,10:44,10:53,10:58,,11:07,11:12,11:19,11:28,11:51
,11:15,11:41,11:50,11:55,,12:04,12:09,12:16,12:25,12:48
,12:11,12:37,12:46,12:51,,13:00,13:05,13:12,13:21,13:44
,13:11,13:37,13:46,13:51,,14:00,14:05,14:12,14:21,14:44
,14:15,14:41,14:50,14:55,,15:04,15:09,15:16,15:25,15:48
,15:19,15:45,15:54,15:59,,16:08,16:13,16:20,16:29,16:52
,16:18,16:44,16:53,16:58,,17:07,17:12,17:19,17:28,17:51
,17:10,17:36,17:45,17:50,,17:59,18:04,18:11,18:20,18:43
,18:17,18:43,18:52,18:57,,19:06,19:11,19:18,19:27,19:50
,19:13,19:38,19:47,19:52,,20:00,20:05,20:12,20:21,20:43
,20:21,20:46,20:55,21:00,,21:08,21:13,21:20,21:29,21:50
