-,-,-,-,5:50,6:16,6:20 (3)
5:50 (2),5:54,6:18,6:24,6:31,6:57,7:01 (4)
6:35 (1),6:39,7:06,7:12,7:20,7:46,7:50 (3)
7:20 (2),7:24,7:51,7:57,8:03,8:31,8:35 (4)
8:05 (1),8:09,8:36,8:42,8:48,9:16,9:20 (3)
8:50 (2),8:54,9:21,9:27,9:33,10:01,10:05 (4)
9:35 (1),9:39,10:06,10:12,10:18,10:46,10:50 (3)
10:20 (2),10:24,10:51,10:57,11:03,11:31,11:35 (4)
11:05 (1),11:09,11:36,11:42,11:48,12:16,12:20 (3)
11:50 (2),11:54,12:21,12:27,12:33,13:01,13:05 (4)
12:35 (1),12:39,13:06,13:12,13:18,13:46,13:50 (3)
13:20 (2),13:24,13:51,13:57,14:03,14:31,14:35 (4)
14:05 (1),14:09,14:36,14:42,14:48,15:16,15:20 (3)
14:50 (2),14:54,15:21,15:27,15:33,16:01,16:05 (4)
15:35 (1),15:39,16:06,16:12,16:18,16:46,16:50 (3)
16:20 (2),16:24,16:51,16:57,17:03,17:31,17:35 (4)
17:05 (1),17:09,17:36,17:42,17:48,18:16,18:20 (3)
17:50 (2),17:54,18:21,18:27,18:33,19:01,19:05 (4)
18:35 (1),18:39,19:06,19:12,19:18,19:46,19:50 (3)
19:20 (2),19:24,19:51,19:57,20:03,20:31,20:35 (4)
20:05 (1),20:09,20:36,20:42,20:48,21:16,21:20 (3)
20:45 (2),20:48,21:13,21:19,21:22,21:47,21:51 (4)
21:30 (1),21:33,21:58,22:04,22:07,-,-,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
