4:55 (2),4:59,5:23,5:29,5:36,6:02,6:06 (4)
5:30 (1),-,5:59,6:05,6:12,6:38,6:42 (3)
-,-,-,-,6:20,6:46,6:50 (3)
5:55 (1),-,6:25,6:31,6:39,7:05,7:09 (3)
6:15 (2),6:19,6:46,6:52,7:00,7:28,7:32 (3)
6:34 (1),-,7:06,7:12,7:20,7:48,7:52 (3)
6:53 (1),-,7:25,7:31,7:39,8:07,8:11 (4)
7:12 (2),7:16,7:44,7:50,7:58,8:26,8:30 (3)
7:30 (1),7:34,8:03,8:09,8:17,8:45,8:49 (4)
7:48 (1),7:52,8:21,8:27,8:35,9:04,9:08 (3)
8:07 (1),8:11,8:40,8:46,8:54,9:23,9:27 (3)
8:26 (2),8:30,8:59,9:05,9:13,9:42,9:46 (4)
8:45 (1),8:49,9:18,9:24,9:32,10:01,10:05 (3)
9:04 (2),9:08,9:37,9:43,9:51,10:20,10:24 (3)
9:23 (1),9:27,9:56,10:02,10:10,10:39,10:43 (4)
9:42 (1),9:46,10:15,10:21,10:29,10:58,11:02 (3)
10:01 (2),10:05,10:34,10:40,10:48,11:17,11:21 (3)
10:20 (1),10:24,10:53,10:59,11:07,11:36,11:40 (4)
10:39 (1),10:43,11:12,11:18,11:26,11:55,11:59 (3)
10:58 (2),11:02,11:31,11:37,11:45,12:14,12:18 (3)
11:17 (1),11:21,11:50,11:56,12:04,12:33,12:37 (4)
11:36 (1),11:40,12:09,12:15,12:23,12:52,12:56 (3)
11:55 (2),11:59,12:28,12:34,12:42,13:11,13:15 (3)
12:14 (1),-,12:46,12:52,13:00,13:29,13:33 (3)
12:33 (1),12:37,13:06,13:12,13:20,13:49,13:53 (4)
12:52 (2),12:56,13:25,13:31,13:39,14:08,14:12 (3)
13:11 (1),13:15,13:44,13:50,13:58,14:27,14:31 (4)
13:30 (1),13:34,14:03,14:09,14:17,14:46,14:50 (3)
13:49 (1),13:53,14:22,14:28,14:36,15:05,15:09 (3)
14:08 (2),14:12,14:41,14:47,14:55,15:24,15:28 (4)
14:27 (1),14:31,15:00,15:06,15:14,15:43,15:47 (3)
14:46 (2),14:50,15:19,15:25,15:33,16:02,16:06 (4)
15:05 (1),15:09,15:38,15:44,15:52,16:21,16:25 (3)
15:24 (1),15:28,15:57,16:03,16:11,16:40,16:44 (3)
15:43 (2),15:47,16:16,16:22,16:30,16:59,17:03 (4)
16:02 (1),16:06,16:35,16:41,16:49,17:18,17:22 (3)
16:21 (2),16:25,16:54,17:00,17:08,17:37,17:41 (3)
16:41 (1),-,17:13,17:19,17:27,17:56,18:00 (4)
16:59 (1),17:03,17:32,17:38,17:46,18:15,18:19 (3)
17:18 (2),17:22,17:51,17:57,18:05,18:34,18:38 (3)
17:37 (1),17:41,18:10,18:16,18:24,18:53,18:57 (4)
17:56 (1),18:00,18:29,18:35,18:43,19:12,19:16 (3)
18:15 (2),18:19,18:48,18:54,19:02,19:31,19:35 (3)
18:34 (1),18:38,19:07,19:13,19:21,19:50,19:54 (4)
18:53 (1),18:57,19:26,19:32,19:40,20:09,20:13 (3)
19:12 (2),19:16,19:45,19:51,19:59,20:28,20:32 (3)
19:31 (1),19:35,20:04,20:10,20:18,20:47,20:51 (3)
19:50 (1),19:54,20:23,20:29,20:37,21:06,21:10 (4)
20:15 (2),20:19,20:47,20:53,21:00,21:28,21:32 (3)
20:55 (1),20:59,21:27,21:33,21:40,22:07,22:10 (3)
21:35 (2),21:39,22:06,22:12,22:18,22:45,22:48 (3)
22:20 (1),22:24,22:51,22:57,23:00,-,-
